graph_name;graph_size;graph_root;elapsed_time;implementation_type
graphs/graph_s1552_p40.grf;1552;430;0.028669;ST
graphs/graph_s1554_p40.grf;1554;1286;0.027896;ST
graphs/graph_s1556_p40.grf;1556;815;0.032970;ST
graphs/graph_s1558_p40.grf;1558;544;0.029376;ST
graphs/graph_s1560_p40.grf;1560;449;0.028681;ST
graphs/graph_s1562_p40.grf;1562;506;0.028935;ST
graphs/graph_s1564_p40.grf;1564;691;0.028768;ST
graphs/graph_s1566_p40.grf;1566;980;0.028857;ST
graphs/graph_s1568_p40.grf;1568;1349;0.028946;ST
graphs/graph_s156_p40.grf;156;95;0.000282;ST
graphs/graph_s1570_p40.grf;1570;205;0.029612;ST
graphs/graph_s1572_p40.grf;1572;660;0.028878;ST
graphs/graph_s1574_p40.grf;1574;1123;0.036148;ST
graphs/graph_s1576_p40.grf;1576;1570;0.029919;ST
graphs/graph_s1578_p40.grf;1578;1150;0.029679;ST
graphs/graph_s1580_p40.grf;1580;443;0.029881;ST
graphs/graph_s1582_p40.grf;1582;245;0.029481;ST
graphs/graph_s1584_p40.grf;1584;538;0.030525;ST
graphs/graph_s1586_p40.grf;1586;1304;0.029944;ST
graphs/graph_s1588_p40.grf;1588;938;0.029874;ST
graphs/graph_s158_p40.grf;158;82;0.000283;ST
graphs/graph_s1590_p40.grf;1590;1005;0.030971;ST
graphs/graph_s1592_p40.grf;1592;1487;0.030688;ST
graphs/graph_s1594_p40.grf;1594;773;0.029524;ST
graphs/graph_s1596_p40.grf;1596;434;0.030266;ST
graphs/graph_s1598_p40.grf;1598;452;0.030929;ST
graphs/graph_s1600_p40.grf;1600;809;0.030033;ST
graphs/graph_s1602_p40.grf;1602;1487;0.030298;ST
graphs/graph_s1604_p40.grf;1604;648;0.031341;ST
graphs/graph_s1606_p40.grf;1606;621;0.031062;ST
graphs/graph_s1608_p40.grf;1608;1504;0.031348;ST
graphs/graph_s160_p40.grf;160;63;0.000292;ST
graphs/graph_s1610_p40.grf;1610;67;0.030933;ST
graphs/graph_s1612_p40.grf;1612;1119;0.030721;ST
graphs/graph_s1614_p40.grf;1614;1428;0.031048;ST
graphs/graph_s1616_p40.grf;1616;976;0.030498;ST
graphs/graph_s1618_p40.grf;1618;1362;0.032001;ST
graphs/graph_s1620_p40.grf;1620;955;0.031322;ST
graphs/graph_s1622_p40.grf;1622;1358;0.032229;ST
graphs/graph_s1624_p40.grf;1624;936;0.031493;ST
graphs/graph_s1626_p40.grf;1626;1296;0.031481;ST
graphs/graph_s1628_p40.grf;1628;799;0.032860;ST
graphs/graph_s162_p40.grf;162;81;0.000293;ST
graphs/graph_s1630_p40.grf;1630;1056;0.042634;ST
graphs/graph_s1632_p40.grf;1632;424;0.032359;ST
graphs/graph_s1634_p40.grf;1634;518;0.032326;ST
graphs/graph_s1636_p40.grf;1636;1014;0.032456;ST
graphs/graph_s1638_p40.grf;1638;981;0.033122;ST
graphs/graph_s1640_p40.grf;1640;706;0.032529;ST
graphs/graph_s1642_p40.grf;1642;177;0.032783;ST
graphs/graph_s1644_p40.grf;1644;1025;0.037951;ST
graphs/graph_s1646_p40.grf;1646;1599;0.036130;ST
graphs/graph_s1648_p40.grf;1648;240;0.032803;ST
graphs/graph_s164_p40.grf;164;35;0.000306;ST
graphs/graph_s1650_p40.grf;1650;228;0.032924;ST
graphs/graph_s1652_p40.grf;1652;1557;0.032268;ST
graphs/graph_s1654_p40.grf;1654;915;0.033310;ST
graphs/graph_s1656_p40.grf;1656;1594;0.032924;ST
graphs/graph_s1658_p40.grf;1658;274;0.033569;ST
graphs/graph_s1660_p40.grf;1660;255;0.033382;ST
graphs/graph_s1662_p40.grf;1662;1531;0.033189;ST
graphs/graph_s1664_p40.grf;1664;770;0.032705;ST
graphs/graph_s1666_p40.grf;1666;1414;0.035682;ST
graphs/graph_s1668_p40.grf;1668;116;0.043468;ST
graphs/graph_s166_p40.grf;166;79;0.001059;ST
graphs/graph_s1670_p40.grf;1670;656;0.070008;ST
graphs/graph_s1672_p40.grf;1672;1351;0.071284;ST
graphs/graph_s1674_p40.grf;1674;510;0.034541;ST
graphs/graph_s1676_p40.grf;1676;1459;0.034430;ST
graphs/graph_s1678_p40.grf;1678;832;0.033695;ST
graphs/graph_s1680_p40.grf;1680;284;0.033889;ST
graphs/graph_s1682_p40.grf;1682;1478;0.033755;ST
graphs/graph_s1684_p40.grf;1684;1036;0.034839;ST
graphs/graph_s1686_p40.grf;1686;619;0.035432;ST
graphs/graph_s1688_p40.grf;1688;209;0.035448;ST
graphs/graph_s168_p40.grf;168;156;0.001125;ST
graphs/graph_s1690_p40.grf;1690;944;0.034606;ST
graphs/graph_s1692_p40.grf;1692;1009;0.034520;ST
graphs/graph_s1694_p40.grf;1694;167;0.037559;ST
graphs/graph_s1696_p40.grf;1696;95;0.035269;ST
graphs/graph_s1698_p40.grf;1698;781;0.035556;ST
graphs/graph_s16_p40.grf;16;5;0.000006;ST
graphs/graph_s1700_p40.grf;1700;514;0.043067;ST
graphs/graph_s1702_p40.grf;1702;977;0.035077;ST
graphs/graph_s1704_p40.grf;1704;455;0.037201;ST
graphs/graph_s1706_p40.grf;1706;635;0.034549;ST
graphs/graph_s1708_p40.grf;1708;1505;0.036650;ST
graphs/graph_s170_p40.grf;170;117;0.000358;ST
graphs/graph_s1710_p40.grf;1710;1344;0.037246;ST
graphs/graph_s1712_p40.grf;1712;1531;0.046076;ST
graphs/graph_s1714_p40.grf;1714;116;0.036565;ST
graphs/graph_s1716_p40.grf;1716;214;0.036500;ST
graphs/graph_s1718_p40.grf;1718;102;0.036765;ST
graphs/graph_s1720_p40.grf;1720;1487;0.036228;ST
graphs/graph_s1722_p40.grf;1722;921;0.036341;ST
graphs/graph_s1724_p40.grf;1724;109;0.040643;ST
graphs/graph_s1726_p40.grf;1726;764;0.036315;ST
graphs/graph_s1728_p40.grf;1728;1153;0.036910;ST
graphs/graph_s172_p40.grf;172;29;0.000338;ST
graphs/graph_s1730_p40.grf;1730;1264;0.040558;ST
graphs/graph_s1732_p40.grf;1732;1085;0.045044;ST
graphs/graph_s1734_p40.grf;1734;1380;0.036407;ST
graphs/graph_s1736_p40.grf;1736;1273;0.036975;ST
graphs/graph_s1738_p40.grf;1738;1175;0.037609;ST
graphs/graph_s1740_p40.grf;1740;1068;0.037660;ST
graphs/graph_s1742_p40.grf;1742;934;0.038072;ST
graphs/graph_s1744_p40.grf;1744;755;0.043735;ST
graphs/graph_s1746_p40.grf;1746;513;0.037028;ST
graphs/graph_s1748_p40.grf;1748;190;0.038518;ST
graphs/graph_s174_p40.grf;174;83;0.000355;ST
graphs/graph_s1750_p40.grf;1750;1517;0.047677;ST
graphs/graph_s1752_p40.grf;1752;980;0.038793;ST
graphs/graph_s1754_p40.grf;1754;308;0.038882;ST
graphs/graph_s1756_p40.grf;1756;1238;0.037556;ST
graphs/graph_s1758_p40.grf;1758;805;0.037497;ST
graphs/graph_s1760_p40.grf;1760;190;0.037658;ST
graphs/graph_s1762_p40.grf;1762;329;0.042550;ST
graphs/graph_s1764_p40.grf;1764;1210;0.038388;ST
graphs/graph_s1766_p40.grf;1766;1056;0.038296;ST
graphs/graph_s1768_p40.grf;1768;1616;0.038519;ST
graphs/graph_s176_p40.grf;176;56;0.000345;ST
graphs/graph_s1770_p40.grf;1770;1109;0.038932;ST
graphs/graph_s1772_p40.grf;1772;1288;0.038907;ST
graphs/graph_s1774_p40.grf;1774;368;0.038315;ST
graphs/graph_s1776_p40.grf;1776;106;0.039194;ST
graphs/graph_s1778_p40.grf;1778;490;0.038819;ST
graphs/graph_s1780_p40.grf;1780;1508;0.039288;ST
graphs/graph_s1782_p40.grf;1782;1469;0.039766;ST
graphs/graph_s1784_p40.grf;1784;317;0.039987;ST
graphs/graph_s1786_p40.grf;1786;1638;0.040953;ST
graphs/graph_s1788_p40.grf;1788;77;0.041391;ST
graphs/graph_s178_p40.grf;178;102;0.000354;ST
graphs/graph_s1790_p40.grf;1790;989;0.040035;ST
graphs/graph_s1792_p40.grf;1792;798;0.039926;ST
graphs/graph_s1794_p40.grf;1794;1291;0.039647;ST
graphs/graph_s1796_p40.grf;1796;673;0.039473;ST
graphs/graph_s1798_p40.grf;1798;735;0.040359;ST
graphs/graph_s1800_p40.grf;1800;1477;0.039612;ST
graphs/graph_s1802_p40.grf;1802;1403;0.040927;ST
graphs/graph_s1804_p40.grf;1804;557;0.039511;ST
graphs/graph_s1806_p40.grf;1806;1301;0.042349;ST
graphs/graph_s1808_p40.grf;1808;9;0.041236;ST
graphs/graph_s180_p40.grf;180;19;0.000369;ST
graphs/graph_s1810_p40.grf;1810;275;0.040296;ST
graphs/graph_s1812_p40.grf;1812;276;0.040032;ST
graphs/graph_s1814_p40.grf;1814;1807;0.040231;ST
graphs/graph_s1816_p40.grf;1816;1226;0.041071;ST
graphs/graph_s1818_p40.grf;1818;326;0.040858;ST
graphs/graph_s1820_p40.grf;1820;908;0.041098;ST
graphs/graph_s1822_p40.grf;1822;1139;0.040892;ST
graphs/graph_s1824_p40.grf;1824;694;0.040373;ST
graphs/graph_s1826_p40.grf;1826;409;0.040905;ST
